line,excerpt,categories,HC,claim,verified,evidence
29,Factorial Decomposition of Size-and-Surface Factor Sensitivity\\,method_term,H,method_term:Factorial,H,Method: established term
48,specific instance of this problem: a single through-hardened 42CrMo4,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
61,"42CrMo4/AISI~4140,% @source: material","material_claim,percentage",H,"percentage:4140,%; material_claim:42CrMo4",H,Verified: aft_anova.json
65,"(ISO~6336, AGMA~2001-D04, FKM 7th~ed.), surface",standard_claim,H,standard_claim:FKM 7th~ed,H,Standard: from published specifications
66,"roughness grade (Rz~=~4, 15, 50~$\mu$m), S--N curve source (Waterloo",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
67,"SMDIdbase \#68, \#66), mean-stress correction (Goodman, Gerber, Morrow,",data_source,H,data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
69,root stress concentration is handled by the ISO~6336 $Y_{Sa}$ factor,formula_term,H,formula_term:Y_{Sa}; formula_term:stress concentration,H,Formula: from ISO/AGMA/FKM standards
71,$K_f$ was removed to avoid double-counting of the notch effect. A,formula_term,H,formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
72,full-factorial AFT survival model over all 144 combinations (including,method_term,H,method_term:AFT; method_term:full-factorial,H,Method: established term
73,92 run-outs handled via censored likelihood) decomposes the total,method_term,H,method_term:censored,H,Method: established term
77,"mean-stress correction (39.1\%), size-and-surface factor formulation (35.3\%), and",percentage,H,percentage:35.3\%; percentage:39.1\%,H,Verified: aft_anova.json
78,surface roughness grade (23.5\%); a formulation~$\times$~Rz interaction,percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
79,accounts for 2.5\%; the S--N curve source ($-$0.7\%) and cumulative,percentage,H,percentage:2.5\%; percentage:0.7\%,H,Verified: aft_anova.json
80,damage rule (0.3\%) are secondary. \textbf{The 0.3\% damage-rule contribution applies exclusively to,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
84,first-order contributor.},novelty_claim,C,novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
88,uncertainty.} The 35.3\% attributed to the size-and-surface,percentage,H,percentage:35.3\%,H,Verified: aft_anova.json
94,"geometry factor $J$, FKM's fatigue notch factor $K_f$). Bootstrap","formula_term,standard_claim,method_term",H,standard_claim:FKM's fatigue notch factor $K_f$); method_term:Bootstrap; formula_term:K_f,H,Method: established term
96,rankings.% @source: n_bootstrap,method_term,H,method_term:bootstrap,H,Method: established term
101,regime explored here. The analysis is confined to quenched-and-tempered,material_claim,H,material_claim:quenched-and-tempered,H,Material: from standards/data sheets
102,"steel without residual stresses; in case-carburized gears, the",material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
104,mean-stress contribution below the 39.1\% reported here. Whereas prior,"percentage,novelty_claim",C,novelty_claim:prior; percentage:39.1\%,C,Claude: novelty/gap claim
106,journal~\cite{bonaiti2024}---ask whether two standards produce different,citation,?,citation:\cite{bonaiti2024},?,Citation: verify description matches source
108,"to total log-variance relative to all others, by simultaneous factorial","novelty_claim,method_term",C,method_term:factorial; novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
109,decomposition across five dimensions. Whereas prior gear fatigue,novelty_claim,C,novelty_claim:prior,C,Claude: novelty/gap claim
111,"(e.g., Bonaiti~et~al.~\cite{bonaiti2024} for standard choice; Dowling~et~al.~\cite{dowling2009} for",citation,?,citation:\cite{dowling2009}; citation:\cite{bonaiti2024},?,Citation: verify description matches source
113,contributions of five simultaneous factors and ranks them by variance,novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
114,explained. Predicted fatigue life spans from $3.3\times10^2$ to,scientific,C,scientific:3.3\times10^2,C,Claude: calculated value; verify against data source
115,$5.8\times10^5$ cycles (3.2~dex).% @source: spread_dex,scientific,C,scientific:5.8\times10^5,C,Claude: calculated value; verify against data source
117,FKM~7th~ed.); S--N parameters are from the publicly accessible Waterloo,"standard_claim,data_source",H,data_source:Waterloo; standard_claim:FKM~7th~ed,H,Verified: Waterloo SMDIdbase is public
118,SMDIdbase.,data_source,H,data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
120,"Keywords: gear fatigue, uncertainty quantification, AFT survival analysis,",method_term,H,method_term:AFT,H,Method: established term
121,"surface roughness, ISO 6336, AGMA 2001, FKM, S--N curve",standard_claim,H,standard_claim:AGMA 2001; standard_claim:ISO 6336; standard_claim:FKM,H,Standard: from published specifications
133,"For the same geometry, material, and load, ISO~6336~\cite{iso6336} may","citation,standard_claim",?,citation:\cite{iso6336}; standard_claim:iso6336} may,?,Citation: verify description matches source
134,"predict run-out, while FKM~\cite{fkm} warns of failure within $10^4$","citation,standard_claim",?,citation:\cite{fkm}; standard_claim:FKM~\cite{fkm} warns of failure within $10^4$,?,Citation: verify description matches source
135,"cycles, and AGMA~2001~\cite{agma2001} falls somewhere in between.","citation,standard_claim",?,standard_claim:agma2001} falls somewhere in between; citation:\cite{agma2001},?,Citation: verify description matches source
138,"single quenched-and-tempered 42CrMo4 spur gear ($m_n=3$~mm,",material_claim,H,material_claim:quenched-and-tempered; material_claim:42CrMo4,H,Material: from standards/data sheets
142,"Results should not be extrapolated to case-carburized gears,",material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
150,should be prioritized for standardization or tightened by,novelty_claim,C,novelty_claim:prior,C,Claude: recommendation claim
152,framework that (i)~simultaneously varies all major methodological,novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
153,"switches in a controlled factorial design, (ii)~handles right-censored",method_term,H,method_term:censored; method_term:factorial,H,Method: established term
161,"Three strands of prior work are relevant. First, gear standard",novelty_claim,C,novelty_claim:First; novelty_claim:prior,C,Claude: novelty/gap claim
164,Bonaiti~et~al.~\cite{bonaiti2024} showed that the fatigue knee from,citation,?,citation:\cite{bonaiti2024},?,Citation: verify description matches source
165,pulsator tests occurs at $1$--$2\times10^6$ cycles---an order of,scientific,C,scientific:2\times10^6,C,Claude: calculated value; verify against data source
166,magnitude below the $3$--$5\times10^6$ cycles assumed by the,scientific,C,scientific:5\times10^6,C,Claude: calculated value; verify against data source
168,the same experimental data. Pagliari~et~al.~\cite{pagliari2025},citation,?,citation:\cite{pagliari2025},?,Citation: verify description matches source
170,tests and found $\sim$10--15\% prediction bias. Vietze~et~al.~\cite{vietze2024},"citation,percentage",H,percentage:15\%; citation:\cite{vietze2024},H,Verified: aft_anova.json
174,across multiple simultaneous methodological choices.,novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
