Paper Section,Claim/Number,Value in Paper,Source File,Source Key,Match
Abstract / Table 2,Total factorial combinations (5 factors x 2-4 levels),144,sweep_summary.json,n_combinations,AUTO
Abstract / Sec 3.6,Run-out (censored) entries,84,sweep_summary.json,n_runouts,AUTO
Abstract / Sec 3.6,Finite-life (observed) entries,60,sweep_summary.json,n_valid,AUTO
Sec 3.6,Low-cycle entries (<10^4),9,sweep_summary.json,n_low_cycle,AUTO
Sec 3.6 / Conclusions,Minimum log10(Nf),3.13,sweep_summary.json,min_log10_Nf,AUTO
Sec 3.6 / Conclusions,Maximum log10(Nf),5.92,sweep_summary.json,max_log10_Nf,AUTO
Abstract / Sec 3.6 / Conclusions,log10(Nf) spread (dex),2.79,sweep_summary.json,spread_dex,AUTO
Table 1 (tab:gear),Normal module (mm),3.0,sweep_summary.json,gear_module_mm,AUTO
Table 1 (tab:gear),Pinion teeth z1,20,sweep_summary.json,teeth,AUTO
Table 1 (tab:gear),Material,42CrMo4 / AISI 4140,sweep_summary.json,material,AUTO
Table 1 / Abstract,Reference input torque (Nm),700,sweep_summary.json,torque_Nm,AUTO
Table 2 (tab:anova),mean_stress_method variance fraction (%),18.2,aft_anova.json,anova_table[mean_stress_method].variance_frac_%,AUTO
Table 2 (tab:anova),mean_stress_method delta log-likelihood,324.21,aft_anova.json,anova_table[mean_stress_method].delta_logLik,AUTO
Table 2 (tab:anova),size_surface_standard variance fraction (%),55.3,aft_anova.json,anova_table[size_surface_standard].variance_frac_%,AUTO
Table 2 (tab:anova),size_surface_standard delta log-likelihood,985.71,aft_anova.json,anova_table[size_surface_standard].delta_logLik,AUTO
Table 2 (tab:anova),rz_level variance fraction (%),22.6,aft_anova.json,anova_table[rz_level].variance_frac_%,AUTO
Table 2 (tab:anova),rz_level delta log-likelihood,403.31,aft_anova.json,anova_table[rz_level].delta_logLik,AUTO
Table 2 (tab:anova),sn_source variance fraction (%),2.5,aft_anova.json,anova_table[sn_source].variance_frac_%,AUTO
Table 2 (tab:anova),sn_source delta log-likelihood,43.9,aft_anova.json,anova_table[sn_source].delta_logLik,AUTO
Table 2 (tab:anova),damage_method variance fraction (%),0.3,aft_anova.json,anova_table[damage_method].variance_frac_%,AUTO
Table 2 (tab:anova),damage_method delta log-likelihood,5.88,aft_anova.json,anova_table[damage_method].delta_logLik,AUTO
Table 2 (tab:anova),size_surface_standard x rz_level variance fraction (%),1.2,aft_anova.json,anova_table[size_surface_standard x rz_level].variance_frac_%,AUTO
Table 2 (tab:anova),size_surface_standard x rz_level delta log-likelihood,20.54,aft_anova.json,anova_table[size_surface_standard x rz_level].delta_logLik,AUTO
Sec 3.1 / Conclusions,Censored (run-out) count in AFT,84,aft_anova.json,n_censored,AUTO
Sec 3.1 / Conclusions,Observed (finite) count in AFT,60,aft_anova.json,n_observed,AUTO
Sec 3.2,AFT log-normal sigma,0.1745,aft_anova.json,sigma_aft,AUTO
Sec 3.2,Full-model log-likelihood,11.32,aft_anova.json,logLik_full,AUTO
